Nivel de estudios,Comunidad Autónoma,ccaa,Tipo,Universidad,Modalidad,Centro,Provincia,Centro,Títuilo,Titulación,Idioma extranjero,Nota de corte
GRADO,Extremadura,Extremadura,Pública,Universidad de Extremadura,Presencial,Propio,Cáceres,Escuela Politécnica,Grado en Ingeniería Informática en Ingeniería del Software,Grado en Ingeniería Informática en Ingeniería del Software,No,"10,36"
GRADO,Andalucía,Andalucía,Pública,Universidad de Granada,Presencial,Propio,Granada,Facultad de Farmacia,Grado en Nutrición Humana y Dietética,Grado en Nutrición Humana y Dietética,No,"10,36"
GRADO,Aragón,Aragón,Pública,Universidad de Zaragoza,Presencial,Propio,Zaragoza,Escuela de Ingeniería y Arquitectura,Grado en Estudios en Arquitectura,Grado en Estudios en Arquitectura,No,"10,36"
DOBLE GRADO,Comunitat Valenciana,Comunitat Valenciana,Pública,Universidad Politécnica de Valencia,Presencial,Propio,Alicante,Escuela Politécnica Superior de Alcoy,PCEO Grado en Administración y Dirección de Empresas / Grado en Ingeniería Informática,Doble Grado en Administración y Dirección de Empresas / Grado en Ingeniería Informática,Sí,"10,36"
GRADO,Galicia,Galicia,Pública,Universidad de A Coruña,Presencial,Propio,A Coruña,Facultad de Ciencias del Deporte y la Educación Física,Grado en Ciencias de la Actividad Física y del Deporte,Grado en Ciencias de la Actividad Física y del Deporte,No,"10,36"
GRADO,Galicia,Galicia,Pública,Universidad de A Coruña,Presencial,Propio,A Coruña,Facultad de Humanidades y Documentación,Grado en Gestión Industrial de la Moda,Grado en Gestión Industrial de la Moda,Sí,"10,36"
DOBLE GRADO,Galicia,Galicia,Pública,Universidad de A Coruña,Presencial,Propio,A Coruña,Facultad de Filología,PCEO Grado en Español. Estudios Lingüísticos y Literarios / Grado en Galego - Portugués. Estudios Lingüísticos y Literarios,Doble Grado en Español. Estudios Lingüísticos y Literarios / Grado en Galego - Portugués. Estudios Lingüísticos y Literarios,No,"10,36"
GRADO,Aragón,Aragón,Pública,Universidad de Zaragoza,Presencial,Propio,Zaragoza,Facultad de Educación,Grado en Magisterio en Educación Primaria,Grado en Magisterio en Educación Primaria,No,"10,36"
DOBLE GRADO,Comunitat Valenciana,Comunitat Valenciana,Pública,Universidad Miguel Hernández de Elche,Presencial,Propio,Alicante,Facultad de Ciencias Sociales y Jurídicas,PCEO Grado en Comunicación Audiovisual / Grado en Periodismo,Doble Grado en Comunicación Audiovisual / Grado en Periodismo,No,"10,35"
DOBLE GRADO,Murcia (Región de),Región de Murcia,Pública,Universidad de Murcia,Presencial,Propio,Murcia,Facultad de Química,PCEO Grado en Química / Grado en Ingeniería Química,Doble Grado en Química / Grado en Ingeniería Química,No,"10,35"
GRADO,Comunitat Valenciana,Comunitat Valenciana,Pública,Universitat de València (Estudi General),Presencial,Propio,Valencia,"Facultad de Filología, Traducción y Comunicación",Grado en Periodismo,Grado en Periodismo,No,"10,34"
GRADO,Galicia,Galicia,Pública,Universidad de Vigo,Presencial,Adscrito,Pontevedra,Escuela Universitaria de Enfermería Povisa,Grado en Enfermería,Grado en Enfermería,No,"10,34"
GRADO,Aragón,Aragón,Pública,Universidad de Zaragoza,Presencial,Propio,Zaragoza,Escuela de Ingeniería y Arquitectura,Grado en Ingeniería en Diseño Industrial y Desarrollo de Producto,Grado en Ingeniería en Diseño Industrial y Desarrollo de Producto,No,"10,34"
GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Complutense de Madrid,Presencial,Propio,Madrid,Facultad de Ciencias Biológicas,Grado en Biología,Grado en Biología,No,"10,34"
DOBLE GRADO,Cataluña,Cataluña,Pública,Universidad Autónoma de Barcelona,Presencial,Propio,Barcelona,Facultad de Economía y Empresa,PCEO Grado en Administración y Dirección de Empresas / Grado en Derecho,Doble Grado en Administración y Dirección de Empresas / Grado en Derecho,Sí,"10,33"
GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Rey Juan Carlos,Varias modalidades,Propio,Madrid,Facultad de Ciencias de la Comunicación. Campus de Madrid,Grado en Publicidad y Relaciones Públicas,Grado en Publicidad y Relaciones Públicas,No,"10,33"
DOBLE GRADO,Andalucía,Andalucía,Pública,Universidad Pablo de Olavide,Presencial,Propio,Sevilla,Facultad de Ciencias Sociales,PCEO Grado en Educación Social / Grado en Trabajo Social,Doble Grado en Educación Social / Grado en Trabajo Social,No,"10,33"
DOBLE GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Complutense de Madrid,Presencial,Propio,Madrid,Facultad de Ciencias Políticas y Sociología,PCEO Grado en Derecho / Grado en Ciencias Políticas,Doble Grado en Derecho / Grado en Ciencias Políticas,No,"10,33"
GRADO,Canarias,Canarias,Pública,Universidad de La Laguna,Presencial,Propio,Santa Cruz De Tenerife,Facultad de Educación,Grado en Ciencias de la Actividad Física y del Deporte,Grado en Ciencias de la Actividad Física y del Deporte,No,"10,33"
GRADO,Andalucía,Andalucía,Pública,Universidad de Cádiz,Presencial,Propio,Cádiz,Escuela Superior de Ingeniería,Grado en Ingeniería Informática,Grado en Ingeniería Informática,No,"10,32"
DOBLE GRADO,Cataluña,Cataluña,Pública,Universidad de Barcelona,Presencial,Propio,Barcelona,Facultad de Economía y Empresa,PCEO Grado en Administración y Dirección de Empresas / Grado en Química,Doble Grado en Administración y Dirección de Empresas / Grado en Química,No,"10,31"
GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Politécnica de Madrid,Presencial,Propio,Madrid,Escuela Técnica Superior de Ingenieros Informáticos,Grado en Ingeniería Informática,Grado en Ingeniería Informática,No,"10,31"
GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad de Alcalá,Presencial,Propio,Madrid,"Facultad de Ciencias Económicas, Empresariales y Turismo",Grado en Administración y Dirección de Empresas,Grado en Administración y Dirección de Empresas,No,"10,31"
GRADO,Comunitat Valenciana,Comunitat Valenciana,Pública,Universitat de València (Estudi General),Presencial,Propio,Valencia,Escuela Técnica Superior de Ingeniería,Grado en Ingeniería Informática,Grado en Ingeniería Informática,No,"10,31"
GRADO,Castilla y León,Castilla y León,Pública,Universidad de Valladolid,Presencial,Propio,Soria,Facultad de Ciencias de la Salud de Soria,Grado en Fisioterapia,Grado en Fisioterapia,No,"10,31"
GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Propio,Madrid,Escuela Politécnica Superior,Grado en Ingeniería de Comunicaciones Móviles y Espaciales/Bachelor´s Degree in Mobile and Space Communications Engineering,Grado en Ingeniería de Comunicaciones Móviles y Espaciales/Bachelor´s Degree in Mobile and Space Communications Engineering,Sí,"10,3"
GRADO,Canarias,Canarias,Pública,Universidad de La Laguna,Presencial,Propio,Santa Cruz de Tenerife,Facultad de Ciencias,Grado en Biología,Grado en Biología,No,"10,29"
GRADO,Comunitat Valenciana,Comunitat Valenciana,Pública,Universidad Jaume I de Castellón,Presencial,Propio,Castellón,Facultad de Ciencias de la Salud,Grado en Psicología,Grado en Psicología,No,"10,29"
GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Complutense de Madrid,Presencial,Propio,Madrid,Facultad de Psicología,Grado en Psicología,Grado en Psicología,No,"10,29"
GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad de Alcalá,Presencial,Propio,Madrid,Facultad de Ciencias,Grado en Química,Grado en Química,No,"10,29"
DOBLE GRADO,Andalucía,Andalucía,Pública,Universidad de Sevilla,Presencial,Propio,Sevilla,Facultad de Geografía e Historia,PCEO Grado en Historia / Grado en Historia del Arte,Doble Grado en Historia / Grado en Historia del Arte,No,"10,28"
GRADO,Comunitat Valenciana,Comunitat Valenciana,Pública,Universitat de València (Estudi General),Presencial,Propio,Valencia,Facultat de Magisteri,Grado en Maestro/a en Educación Primaria,Grado en Maestro/a en Educación Primaria,No,"10,28"
GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Rey Juan Carlos,Varias modalidades,Propio,Madrid,Escuela Técnica Superior de Ingeniería Informática. Campus de Madrid,Grado en Ingeniería Informática,Grado en Ingeniería Informática,No,"10,28"
GRADO,Cataluña,Cataluña,Pública,Universidad Autónoma de Barcelona,Presencial,Propio,Barcelona,Facultad de Medicina,Grado en Fisioterapia,Grado en Fisioterapia,No,"10,27"
GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Complutense de Madrid,Presencial,Propio,Madrid,Facultad de Informática,Grado en Desarrollo de Videojuegos,Grado en Desarrollo de Videojuegos,No,"10,26"
GRADO,Cataluña,Cataluña,Pública,Universidad Rovira i Virgili,Presencial,Propio,Tarragona,Facultad de Enfermería,Grado en Enfermería,Grado en Enfermería,No,"10,26"
GRADO,País Vasco,País Vasco,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Propio,Gipuzkoa,Facultad de Informática,Grado en Inteligencia Artificial,Grado en Inteligencia Artificial,No,"10,26"
GRADO,Cataluña,Cataluña,Pública,Universidad de Girona,Presencial,Propio,Girona,Facultad de Enfermería,Grado en Enfermería,Grado en Enfermería,No,"10,25"
GRADO,Cataluña,Cataluña,Pública,Universidad de Barcelona,Presencial,Adscrito,Barcelona,Instituto Nacional de Educación Física de Cataluña,Grado en Ciencias de la Actividad Física y el Deporte,Grado en Ciencias de la Actividad Física y el Deporte,No,"10,24"
GRADO,Cataluña,Cataluña,Pública,Universidad Politécnica de Catalunya,Presencial,Propio,Barcelona,Escuela de Ingeniería de Telecomunicación y Aeroespacial de Castelldefels,Grado en Ingeniería de Sistemas Aeroespaciales,Grado en Ingeniería de Sistemas Aeroespaciales,No,"10,23"
DOBLE GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Propio,Madrid,Facultad de Ciencias de la Comunicación. Campus de Madrid,PCEO Grado en Periodismo / Grado en Comunicación Audiovisual,Doble Grado en Periodismo / Grado en Comunicación Audiovisual,No,"10,22"
GRADO,Murcia (Región de),Región de Murcia,Pública,Universidad Politécnica de Cartagena,Presencial,Propio,Murcia,Escuela Técnica Superior de Ingeniería Industrial,Grado en Ingeniería Biomédica,Grado en Ingeniería Biomédica,No,"10,22"
DOBLE GRADO,Castilla y León,Castilla y León,Pública,Universidad de Valladolid,Presencial,Propio,Valladolid,Facultad de Derecho,PCEO Grado en Derecho / Grado en Administración y Dirección de Empresas,Doble Grado en Derecho / Grado en Administración y Dirección de Empresas,No,"10,22"
GRADO,Comunitat Valenciana,Comunitat Valenciana,Pública,Universidad Politécnica de Valencia,Presencial,Propio,Valencia,"Escuela Técnica Superior de Ingeniería de Caminos, Canales y Puertos",Grado en Ingeniería Civil,Grado en Ingeniería Civil,No,"10,22"
GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Propio,Madrid,Escuela Técnica Superior de Ingeniería Informática. Campus de Madrid,Grado en Diseño y Desarrollo de Videojuegos,Grado en Diseño y Desarrollo de Videojuegos,No,"10,21"
DOBLE GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Propio,Madrid,Escuela Superior de Ciencias Experimentales y Tecnología. Campus de Móstoles,PCEO Grado en Ingeniería Ambiental / Grado en Ingeniería en Energía,Doble Grado en Ingeniería Ambiental / Grado en Ingeniería en Energía,No,"10,21"
GRADO,Canarias,Canarias,Pública,Universidad de Las Palmas de Gran Canaria,Varias modalidades,Propio,Las Palmas,Facultad de Ciencias de la Educación,Grado en Educación Primaria,Grado en Educación Primaria,No,"10,21"
DOBLE GRADO,Castilla y León,Castilla y León,Pública,Universidad de León,Presencial,Propio,León,Facultad de Derecho,PCEO Grado en Derecho / Grado en Administración y Dirección de Empresas,Doble Grado en Derecho / Grado en Administración y Dirección de Empresas,No,"10,21"
GRADO,Cataluña,Cataluña,Pública,Universidad Pompeu Fabra,Presencial,Propio,Barcelona,Escuela de Ingeniería,Grado en Ingeniería en Informática,Grado en Ingeniería en Informática,No,"10,21"
GRADO,Andalucía,Andalucía,Pública,Universidad de Córdoba,Presencial,Propio,Córdoba,Escuela Politécnica Superior de Córdoba,Grado en Ingeniería Informática,Grado en Ingeniería Informática,No,"10,21"
DOBLE GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Propio,Madrid,Escuela Superior de Ciencias Experimentales y Tecnología. Campus de Móstoles,PCEO Grado en Ingeniería de Materiales / Grado en Ingeniería en Organización Industrial,Doble Grado en Ingeniería de Materiales / Grado en Ingeniería en Organización Industrial,No,"10,2"
GRADO,Asturias (Principado de),Asturias,Pública,Universidad de Oviedo,Semi/No Presencial,Propio,Asturias,Escuela Politécnica de Ingeniería de Gijón,Grado en Ciencia e Ingeniería de Datos,Grado en Ciencia e Ingeniería de Datos,No,"10,2"
GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Autónoma de Madrid,Presencial,Propio,Madrid,Facultad de Ciencias,Grado en Nutrición Humana y Dietética,Grado en Nutrición Humana y Dietética,No,"10,2"
GRADO,Castilla-La Mancha,Castilla-La Mancha,Pública,Universidad de Castilla-La Mancha,Presencial,Propio,Toledo,Facultad de Fisioterapia y Enfermería,Grado en Fisioterapia,Grado en Fisioterapia,No,"10,2"
GRADO,Andalucía,Andalucía,Pública,Universidad de Málaga,Presencial,Propio,Málaga,Escuela Técnica Superior de Ingeniería Informática,Grado en Ingeniería de la Salud,Grado en Ingeniería de la Salud,No,"10,19"
GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad de Alcalá,Presencial,Propio,Madrid,Escuela Politécnica Superior,Grado en Ingeniería en Electrónica y Automática Industrial,Grado en Ingeniería en Electrónica y Automática Industrial,No,"10,19"
DOBLE GRADO,Galicia,Galicia,Pública,Universidad de Santiago de Compostela,Presencial,Propio,A Coruña,Facultad de Química,PCEO Grado en Química / Grado en Biología,Doble Grado en Química / Grado en Biología,No,"10,18"
GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Autónoma de Madrid,Varias modalidades,Propio,Madrid,Facultad de Formación de Profesorado y Educación,Grado en Maestro/a en Educación Primaria,Grado en Maestro/a en Educación Primaria,No,"10,18"
GRADO,Cataluña,Cataluña,Pública,Universidad Politécnica de Catalunya,Presencial,Propio,Barcelona,Escuela Politécnica Superior de Ingeniería de Manresa,Grado en Ingeniería de Automoción,Grado en Ingeniería de Automoción,Sí,"10,18"
GRADO,Andalucía,Andalucía,Pública,Universidad de Sevilla,Presencial,Propio,Sevilla,Escuela Técnica Superior de Ingeniería,Grado en Ingeniería de la Energía,Grado en Ingeniería de la Energía,No,"10,18"
GRADO,Cataluña,Cataluña,Privada,Universidad de Vic,Presencial,Propio,Barcelona,"Facultad de Ciencias, Tecnología e Ingenierías",Grado en Biomedicina,Grado en Biomedicina,No,"10,17"
GRADO,Cataluña,Cataluña,Pública,Universidad Autónoma de Barcelona,Presencial,Adscrito,Barcelona,Escuela Universitaria de Enfermería del Hospital de la Santa Creu i San Pau,Grado en Enfermería,Grado en Enfermería,No,"10,16"
GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Propio,Madrid,Escuela Superior de Ciencias Experimentales y Tecnología. Campus de Móstoles,Grado en Ingeniería Electrónica Industrial y Automática,Grado en Ingeniería Electrónica Industrial y Automática,No,"10,16"
GRADO,País Vasco,País Vasco,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Propio,Bizkaia,Facultad de Educación de Bilbao,Grado en Educación Social,Grado en Educación Social,No,"10,16"
GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Rey Juan Carlos,Varias modalidades,Propio,Madrid,Facultad de Ciencias de la Educación y del Deporte y Estudios Interdisciplinares. Campus de Móstoles,Grado en Educación Primaria,Grado en Educación Primaria,Sí,"10,15"
GRADO,Andalucía,Andalucía,Pública,Universidad de Sevilla,Presencial,Propio,Sevilla,Facultad de Derecho,Grado en Derecho,Grado en Derecho,No,"10,15"
GRADO,Canarias,Canarias,Pública,Universidad de Las Palmas de Gran Canaria,Presencial,Propio,Las Palmas,Facultad de Ciencias de la Educación,Grado en Educación Infantil,Grado en Educación Infantil,No,"10,15"
DOBLE GRADO,Cataluña,Cataluña,Pública,Universidad de Lleida,Presencial,Propio,Lleida,Facultad de Enfermería y Fisioterapia,PCEO Grado en Nutrición Humana y Dietética / Grado en Fisioterapia,Doble Grado en Nutrición Humana y Dietética / Grado en Fisioterapia,No,"10,15"
GRADO,Castilla y León,Castilla y León,Pública,Universidad de Valladolid,Presencial,Propio,Soria,Facultad de Educación de Soria,Grado en Ciencias de la Actividad Física y del Deporte,Grado en Ciencias de la Actividad Física y del Deporte,No,"10,14"
GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Complutense de Madrid,Presencial,Propio,Madrid,Facultad de Ciencias Químicas,Grado en Química,Grado en Química,No,"10,14"
GRADO,Andalucía,Andalucía,Pública,Universidad de Huelva,Presencial,Propio,Huelva,"Facultad de Educación, Psicología y Ciencias del Deporte",Grado en Psicología,Grado en Psicología,No,"10,13"
GRADO,Balears (Illes),Baleares,Pública,Universidad de las Illes Balears,Presencial,Propio,Illes Balears,Facultad de Enfermería y Fisioterapia,Grado en Enfermería,Grado en Enfermería,No,"10,13"
GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Politécnica de Madrid,Presencial,Propio,Madrid,Escuela Técnica Superior de Ingeniería de Sistemas Informáticos,Grado en Ingeniería del Software,Grado en Ingeniería del Software,No,"10,13"
GRADO,Castilla y León,Castilla y León,Pública,Universidad de Burgos,Varias modalidades,Propio,Burgos,Facultad de Ciencias de la Salud,Grado en Psicología,Grado en Psicología,No,"10,12"
GRADO,Andalucía,Andalucía,Pública,Universidad Pablo de Olavide,Presencial,Propio,Sevilla,Facultad de Derecho,Grado en Derecho,Grado en Derecho,No,"10,12"
GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Complutense de Madrid,Presencial,Propio,Madrid,Facultad de Bellas Artes,Grado en Bellas Artes,Grado en Bellas Artes,No,"10,12"
GRADO,Asturias (Principado de),Asturias,Pública,Universidad de Oviedo,Presencial,Propio,Asturias,Facultad de Formación del Profesorado y Educación,Grado en Maestro en Educación Primaria,Grado en Maestro en Educación Primaria,No,"10,11"
DOBLE GRADO,Andalucía,Andalucía,Pública,Universidad de Granada,Presencial,Propio,Granada,Facultad de Ciencias de la Educación,PCEO Grado en Educación Primaria / Grado en Estudios Franceses,Doble Grado en Educación Primaria / Grado en Estudios Franceses,No,"10,1"
GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Politécnica de Madrid,Presencial,Propio,Madrid,Escuela Técnica Superior de Ingenieros de Minas y Energía,Grado en Ingeniería de los Recursos Energéticos. Combustibles y Explosivos,Grado en Ingeniería de los Recursos Energéticos. Combustibles y Explosivos,No,"10,1"
GRADO,Andalucía,Andalucía,Pública,Universidad de Málaga,Presencial,Propio,Málaga,Facultad de Ciencias de la Educación,Grado en Educación Primaria,Grado en Educación Primaria,No,"10,1"
GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Complutense de Madrid,Presencial,Propio,Madrid,Facultad de Bellas Artes,Grado en Conservación y Restauración del Patrimonio Cultural,Grado en Conservación y Restauración del Patrimonio Cultural,No,"10,1"
GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Propio,Madrid,Escuela Técnica Superior de Ingeniería Informática. Campus de Móstoles,Grado en Ingeniería del Software,Grado en Ingeniería del Software,No,"10,09"
GRADO,Melilla,Melilla,Pública,Universidad de Granada,Presencial,Propio,Melilla,Facultad de Ciencias de la Salud de Melilla,Grado en Fisioterapia,Grado en Fisioterapia,No,"10,09"
GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Rey Juan Carlos,Varias modalidades,Propio,Madrid,Facultad de Ciencias Jurídicas y Políticas. Campus de Fuenlabrada,Grado en Derecho,Grado en Derecho,No,"10,09"
GRADO,Castilla-La Mancha,Castilla-La Mancha,Pública,Universidad de Castilla-La Mancha,Presencial,Propio,Albacete,Facultad de Farmacia,Grado en Farmacia,Grado en Farmacia,No,"10,09"
GRADO,Comunitat Valenciana,Comunitat Valenciana,Pública,Universitat de València (Estudi General),Presencial,Propio,Valencia,Facultad de Derecho,Grado en Derecho,Grado en Derecho,Sí,"10,08"
GRADO,Comunitat Valenciana,Comunitat Valenciana,Pública,Universitat de València (Estudi General),Presencial,Propio,Valencia,"Facultad de Filología, Traducción y Comunicación",Grado en Estudios Ingleses,Grado en Estudios Ingleses,Sí,"10,08"
GRADO,Cataluña,Cataluña,Pública,Universidad Autónoma de Barcelona,Presencial,Propio,Barcelona,Facultad de Economía y Empresa,Grado en Administración y Dirección de Empresas,Grado en Administración y Dirección de Empresas,Sí,"10,07"
GRADO,País Vasco,País Vasco,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Propio,Araba/Álava,Facultad de Farmacia,Grado en Nutrición Humana y Dietética,Grado en Nutrición Humana y Dietética,No,"10,07"
GRADO,Murcia (Región de),Región de Murcia,Pública,Universidad de Murcia,Presencial,Propio,Murcia,Facultad de Psicología y Logopedia,Grado en Psicología,Grado en Psicología,No,"10,07"
GRADO,Andalucía,Andalucía,Pública,Universidad de Almería,Presencial,Propio,Almería,Facultad de Psicología,Grado en Psicología,Grado en Psicología,No,"10,07"
GRADO,Comunitat Valenciana,Comunitat Valenciana,Pública,Universidad Miguel Hernández de Elche,Presencial,Propio,Alicante,Facultad de Medicina,Grado en Podología,Grado en Podología,No,"10,07"
DOBLE GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Propio,Madrid,Escuela Técnica Superior de Ingeniería Informática. Campus de Móstoles,PCEO Grado en Diseño y Desarrollo de Videojuegos / Grado en Ingeniería de Computadores,Doble Grado en Diseño y Desarrollo de Videojuegos / Grado en Ingeniería de Computadores,No,"10,07"
GRADO,Cataluña,Cataluña,Pública,Universidad de Girona,Presencial,Propio,Girona,Escuela Politécnica Superior,Grado en Ingeniería Biomédica,Grado en Ingeniería Biomédica,No,"10,06"
DOBLE GRADO,Cataluña,Cataluña,Pública,Universidad de Barcelona,Presencial,Propio,Barcelona,Facultad de Derecho,PCEO Grado en Derecho / Grado en Gestión y Administración Pública,Doble Grado en Derecho / Grado en Gestión y Administración Pública,No,"10,06"
GRADO,Canarias,Canarias,Pública,Universidad de La Laguna,Presencial,Propio,Santa Cruz De Tenerife,Facultad de Educación,Grado en Maestro en Educación Primaria,Grado en Maestro en Educación Primaria,No,"10,06"
DOBLE GRADO,Cataluña,Cataluña,Pública,Universidad de Lleida,Presencial,Propio,Lleida,"Facultad de Derecho, Economía y Turismo",PCEO Grado en Administración y Dirección de Empresas / Grado en Derecho,Doble Grado en Administración y Dirección de Empresas / Grado en Derecho,No,"10,05"
GRADO,Andalucía,Andalucía,Pública,Universidad de Cádiz,Presencial,Propio,Cádiz,Escuela Superior de Ingeniería,Grado en Ingeniería Mecánica,Grado en Ingeniería Mecánica,No,"10,05"
GRADO,Comunitat Valenciana,Comunitat Valenciana,Pública,Universidad Miguel Hernández de Elche,Presencial,Propio,Alicante,Facultad de Ciencias Experimentales,Grado en Ciencia de Datos e Inteligencia Artificial,Grado en Ciencia de Datos e Inteligencia Artificial,No,"10,05"
GRADO,Cataluña,Cataluña,Pública,Universidad Rovira i Virgili,Presencial,Propio,Tarragona,Facultad de Enología,Grado en Biotecnología,Grado en Biotecnología,No,"10,03"
GRADO,Galicia,Galicia,Pública,Universidad de A Coruña,Presencial,Propio,A Coruña,Facultad de Ciencias de la Educación,Grado en Educación Primaria,Grado en Educación Primaria,No,"10,03"
GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Propio,Madrid,Escuela Superior de Ciencias Experimentales y Tecnología. Campus de Móstoles,Grado en Biología,Grado en Biología,No,"10,03"
GRADO,Galicia,Galicia,Pública,Universidad de Vigo,Presencial,Propio,Pontevedra,Facultad de Ciencias de la Educación y del Deporte,Grado en Educación Primaria,Grado en Educación Primaria,No,"10,03"
GRADO,Andalucía,Andalucía,Pública,Universidad de Jaén,Presencial,Propio,Jaén,Facultad de Humanidades y Ciencias de la Educación,Grado en Psicología,Grado en Psicología,No,"10,02"
DOBLE GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Complutense de Madrid,Presencial,Propio,Madrid,Facultad de Derecho,PCEO Grado en Derecho / Grado en Relaciones Laborales y Recursos Humanos,Doble Grado en Derecho / Grado en Relaciones Laborales y Recursos Humanos,No,"10,02"
GRADO,País Vasco,País Vasco,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Propio,Bizkaia,Facultad de Ciencias Sociales y de la Comunicación,Grado en Comunicación Audiovisual,Grado en Comunicación Audiovisual,No,"10,02"
GRADO,Andalucía,Andalucía,Pública,Universidad de Cádiz,Presencial,Propio,Cádiz,Facultad de Derecho,Grado en Criminología y Seguridad,Grado en Criminología y Seguridad,No,"10,01"
DOBLE GRADO,Castilla y León,Castilla y León,Pública,Universidad de Valladolid,Presencial,Propio,Palencia,Facultad de Educación de Palencia,PCEO Grado en Educación Primaria/Grado en Educación Infantil,Doble Grado en Educación Primaria/Grado en Educación Infantil,No,"10,01"
GRADO,Comunitat Valenciana,Comunitat Valenciana,Pública,Universidad de Alicante,Presencial,Propio,Alicante,Escuela Politécnica Superior,Grado en Fundamentos de la Arquitectura,Grado en Fundamentos de la Arquitectura,No,"10,01"
GRADO,Cataluña,Cataluña,Pública,Universidad Autónoma de Barcelona,Presencial,Propio,Barcelona,Escuela de Ingeniería,Grado en Inteligencia Artificial / Bachelor in Artificial Intelligence,Grado en Inteligencia Artificial / Bachelor in Artificial Intelligence,Sí,"10,01"
GRADO,País Vasco,País Vasco,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Propio,Araba/Álava,Facultad de Educación y Deporte,Grado en Educación Primaria,Grado en Educación Primaria,No,10
GRADO,Comunitat Valenciana,Comunitat Valenciana,Pública,Universitat de València (Estudi General),Presencial,Propio,Valencia,Facultad de Economía,Grado en Administración y Dirección de Empresas,Grado en Administración y Dirección de Empresas,Sí,10
GRADO,País Vasco,País Vasco,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Propio,Gipuzkoa,"Facultad de Educación, Filosofía y Antropología",Grado en Educación Primaria,Grado en Educación Primaria,No,"9,99"
GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Rey Juan Carlos,Varias modalidades,Propio,Madrid,Facultad de Ciencias de la Educación y del Deporte y Estudios Interdisciplinares. Campus de Fuenlabrada,Grado en Educación Primaria,Grado en Educación Primaria,Sí,"9,99"
GRADO,Comunitat Valenciana,Comunitat Valenciana,Pública,Universidad Jaume I de Castellón,Presencial,Propio,Castellón,Facultad de Ciencias Humanas y Sociales,Grado en Maestro o Maestra en Educación Primaria,Grado en Maestro o Maestra en Educación Primaria,No,"9,98"
GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Propio,Madrid,"Facultad de Humanidades, Comunicación y Documentación",Grado en Historia y Política/Bachelor in History and Politics,Grado en Historia y Política/Bachelor in History and Politics,Sí,"9,97"
DOBLE GRADO,Cataluña,Cataluña,Pública,Universidad de Girona,Presencial,Propio,Girona,Facultad de Ciencias Económicas y Empresariales,PCEO Grado en Administración y Dirección de Empresas / Grado en Economía,Doble Grado en Administración y Dirección de Empresas / Grado en Economía,No,"9,97"
