Nivel de estudios,Comunidad Autónoma,ccaa,Tipo,Universidad,Modalidad,Centro,Provincia,Centro,Títuilo,Titulación,Idioma extranjero,Nota de corte
GRADO,Andalucía,Andalucía,Pública,Universidad de Málaga,Presencial,Propio,Málaga,Facultad de Medicina,Grado en Medicina,Grado en Medicina,No,"13,35"
DOBLE GRADO,Andalucía,Andalucía,Pública,Universidad de Sevilla,Presencial,Propio,Sevilla,Facultad de Ciencias de la Educación,PCEO Grado en Fisioterapia / Grado en Ciencias de la Actividad Física y del Deporte,Doble Grado en Fisioterapia / Grado en Ciencias de la Actividad Física y del Deporte,No,"13,35"
DOBLE GRADO,Castilla y León,Castilla y León,Pública,Universidad de Valladolid,Presencial,Propio,Valladolid,Facultad de Ciencias,PCEO Grado en Matemáticas / Grado en Física,Doble Grado en Matemáticas / Grado en Física,No,"13,34"
DOBLE GRADO,Asturias (Principado de),Asturias,Pública,Universidad de Oviedo,Semi/No Presencial,Propio,Asturias,Escuela Politécnica de Ingeniería de Gijón,PCEO Grado en Ciencia e Ingeniería de Datos / Grado en Ingeniería Informática en Tecnologías de la Información,Doble Grado en Ciencia e Ingeniería de Datos / Grado en Ingeniería Informática en Tecnologías de la Información,No,"13,33"
GRADO,Comunitat Valenciana,Comunitat Valenciana,Pública,Universidad Politécnica de Valencia,Presencial,Propio,Valencia,Escuela Técnica Superior de Ingeniería Aeroespacial y Diseño Industrial,Grado en Ingeniería Aeroespacial,Grado en Ingeniería Aeroespacial,Sí,"13,33"
DOBLE GRADO,Andalucía,Andalucía,Pública,Universidad de Granada,Presencial,Propio,Granada,Facultad de Ciencias,PCEO Grado en Informática / Grado en Matemáticas,Doble Grado en Informática / Grado en Matemáticas,No,"13,33"
GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Propio,Madrid,Escuela Politécnica Superior,Grado en Ingeniería Aeroespacial,Grado en Ingeniería Aeroespacial,Sí,"13,3"
DOBLE GRADO,Comunitat Valenciana,Comunitat Valenciana,Pública,Universidad Politécnica de Valencia,Presencial,Propio,Valencia,Escuela Técnica Superior de Ingeniería de Telecomunicación,PCEO Grado en Administración y Dirección de Empresas / Grado en Matemáticas,Doble Grado en Administración y Dirección de Empresas / Grado en Matemáticas,No,"13,3"
GRADO,Andalucía,Andalucía,Pública,Universidad de Cádiz,Presencial,Propio,Cádiz,Facultad de Medicina,Grado en Medicina,Grado en Medicina,No,"13,29"
GRADO,Comunitat Valenciana,Comunitat Valenciana,Pública,Universitat de València (Estudi General),Presencial,Propio,Valencia,Facultad de Medicina y Odontología,Grado en Medicina,Grado en Medicina,Sí,"13,29"
