CCAA,Provincia,Tipo,Universidad,Modalidad,Centro,Título,Idioma extranjero,Nota
Región de Murcia,Murcia,Pública,Universidad de Murcia,Presencial,Facultad de Matemáticas,Doble Grado en Matemáticas / Grado en Informática,No,13
Comunitat Valenciana,Alicante,Pública,Universidad de Alicante,Presencial,Facultad de Ciencias,Doble Grado en Física / Grado en Matemáticas,No,"12,99"
Comunitat Valenciana,Alicante,Pública,Universidad de Alicante,Presencial,Facultad de Derecho,Doble Grado en Derecho / Grado en Relaciones Internacionales,No,"12,98"
Castilla-La Mancha,Albacete,Pública,Universidad de Castilla-La Mancha,Presencial,Facultad de Medicina de Albacete,Grado en Medicina,No,"12,98"
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Facultad de Ciencias Químicas,Doble Grado en Química / Grado en Bioquímica,No,"12,98"
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Facultad de Ciencias Económicas y Empresariales,Doble Grado en Economía / Grado en Matemáticas y Ciencia de Datos,No,"12,98"
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Facultad de Ciencias Económicas y Empresariales,Doble Grado en Economía / Grado en Relaciones Internacionales,No,"12,97"
Comunidad de Madrid,Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Facultad de Ciencias Sociales y Jurídicas,Doble Grado en Estudios Internacionales / Grado en Ciencias Políticas,Sí,"12,96"
Extremadura,Badajoz,Pública,Universidad de Extremadura,Presencial,Facultad de Medicina y Ciencias de la Salud,Grado en Medicina,No,"12,95"
Comunidad de Madrid,Madrid,Pública,Universidad Politécnica de Madrid,Presencial,"Escuela Técnica Superior de Ingeniería Agronómica, Alimentaria y de Biosistemas",Grado en Biotecnología,No,"12,93"
Comunidad de Madrid,Madrid,Pública,Universidad Politécnica de Madrid,Presencial,Escuela Técnica Superior de Ingeniería y Diseño Industrial,Doble Grado en Ingeniería en Diseño Industrial y Desarrollo Producto / Grado en Ingeniería Mecánica,No,"12,9"
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Ciencias,Grado en Matemáticas,No,"12,89"
Comunitat Valenciana,Valencia,Pública,Universidad Politécnica de Valencia,Presencial,Escuela Técnica Superior de Ingeniería Industrial,Grado en Ingeniería Biomédica,No,"12,89"
Castilla y León,Valladolid,Pública,Universidad de Valladolid,Presencial,Facultad de Medicina,Grado en Medicina,No,"12,89"
Castilla y León,Valladolid,Pública,Universidad de Valladolid,Presencial,Facultad de Medicina,Grado en Biomedicina y Terapias Avanzadas,No,"12,87"
País Vasco,Vizcaya,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Facultad de Ciencia y Tecnología,Doble Grado en Física / Grado en Ingeniería Electrónica,No,"12,87"
Cataluña,Barcelona,Pública,Universidad de Barcelona,Presencial,Facultad de Matemáticas e Informática,Doble Grado en Matemáticas / Grado en Física,No,"12,86"
Navarra,Navarra,Pública,Universidad Pública de Navarra,Presencial,Escuela Técnica Superior de Ingeniería Agronómica y Biociencias,Doble Grado en Ciencia de Datos / Grado en Biotecnología,No,"12,86"
Andalucía,Granada,Pública,Universidad de Granada,Presencial,Facultad de Filosofía y Letras,Doble Grado en Estudios Ingleses / Grado en Filología Hispánica,No,"12,86"
Cataluña,Barcelona,Pública,Universidad Politécnica de Catalunya,Presencial,"Escuela Superior de Ingenierías Industrial, Aeroespacial y Audiovisual de Terrassa",Grado en Ingeniería en Tecnologías Aeroespaciales,No,"12,86"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Biología,Grado en Bioquímica,No,"12,85"
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Medicina,Grado en Odontología,No,"12,85"
Navarra,Navarra,Pública,Universidad Pública de Navarra,Presencial,Facultad de Ciencias de la Salud,Grado en Medicina,No,"12,84"
Asturias,Asturias,Pública,Universidad de Oviedo,Presencial,Facultad de Medicina y Ciencias de la Salud,Grado en Medicina,No,"12,83"
Comunidad de Madrid,Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Escuela Politécnica Superior,Grado en Ingeniería Biomédica / Bachelor in Biomedical Engineering,Sí,"12,83"
Cataluña,Barcelona,Pública,Universidad Politécnica de Catalunya,Presencial,Facultad de Matemáticas y Estadística,Grado en Matemáticas,No,"12,82"
Cantabria,Cantabria,Pública,Universidad de Cantabria,Presencial,Facultad de Medicina,Grado en Ciencias Biomédicas,No,"12,81"
País Vasco,Vizcaya,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Escuela de Ingeniería de Bilbao,Grado en Biomedical Engineering,Sí,"12,8"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Escuela Técnica Superior de Ingeniería Informática. Campus de Móstoles,Doble Grado en Ingeniería del Software / Grado en Matemáticas,No,"12,8"
Castilla y León,Valladolid,Pública,Universidad de Valladolid,Presencial,Facultad de Ciencias,Doble Grado en Matemáticas/Grado en Ingeniería Informática de Servicios y Aplicaciones,No,"12,8"
Andalucía,Granada,Pública,Universidad de Granada,Presencial,Facultad de Ciencias,Grado en Biotecnología,No,"12,78"
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Facultad de Odontología,Grado en Odontología,No,"12,78"
Comunidad de Madrid,Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Facultad de Ciencias Sociales y Jurídicas,Grado en Filosofía. Política y Economía,Sí,"12,76"
Aragón,Zaragoza,Pública,Universidad de Zaragoza,Presencial,Facultad de Medicina,Grado en Medicina,No,"12,74"
Comunidad de Madrid,Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Facultad de Ciencias Sociales y Jurídicas,Doble Grado en Derecho / Grado en Economía,Sí,"12,74"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Facultad de Ciencias de la Salud. Campus de Alcorcón,Grado en Odontología,No,"12,73"
Comunitat Valenciana,Alicante,Pública,Universidad de Alicante,Presencial,Facultad de Ciencias,Grado en Matemáticas,No,"12,72"
Comunitat Valenciana,Valencia,Pública,Universitat de València (Estudi General),Presencial,Facultad de Química,Doble Grado en Física / Grado en Química,No,"12,72"
Comunidad de Madrid,Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Facultad de Ciencias Sociales y Jurídicas,Grado en Grado en Empresa y Tecnología / Bachelor in Management and Technology,Sí,"12,71"
Región de Murcia,Murcia,Pública,Universidad de Murcia,Presencial,Facultad de Medicina,Grado en Odontología,No,"12,71"
Asturias,Asturias,Pública,Universidad de Oviedo,Presencial,Facultad de Ciencias,Doble Grado en Matemáticas / Grado en Física. Opción A,No,"12,71"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,"Facultad de Enfermería, Fisioterapia y Podología",Grado en Enfermería,No,"12,71"
Comunitat Valenciana,Valencia,Pública,Universitat de València (Estudi General),Presencial,Facultad de Economía,Grado en Negocios Internacionales\ International Business,Sí,"12,71"
Castilla y León,León,Pública,Universidad de León,Presencial,"Escuela de Ingenierías Industrial, Informática y Aeroespacial",Grado en Ingeniería Aeroespacial,No,"12,71"
Comunidad de Madrid,Madrid,Pública,Universidad Politécnica de Madrid,Presencial,Escuela Técnica Superior de Ingenieros de Telecomunicación,Grado en Ingeniería Biomédica,No,"12,7"
Comunitat Valenciana,Valencia,Pública,Universitat de València (Estudi General),Presencial,Facultad de Ciencias Matemáticas,Grado en Matemáticas,No,"12,7"
Comunidad de Madrid,Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Facultad de Ciencias Sociales y Jurídicas,Grado en Estudios Internacionales / Bachelor in International Studies,Sí,"12,7"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Escuela Politécnica Superior,Doble Grado en Ingeniería Industrial y Desarrollo del Producto / Grado en Ingeniería Mecánica,No,"12,69"
Comunitat Valenciana,Valencia,Pública,Universidad Politécnica de Valencia,Presencial,Escuela Técnica Superior de Ingeniería Agronómica y del Medio Natural,Grado en Biotecnología,Sí,"12,68"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,"Facultad de Enfermería, Fisioterapia y Podología",Grado en Fisioterapia,No,"12,68"
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Facultad de Informática,Grado en Ingeniería de Datos e Inteligencia Artificial,No,"12,68"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Comunicación,Doble Grado en Periodismo / Grado en Comunicación Audiovisual,No,"12,67"
Comunitat Valenciana,Alicante,Pública,Universidad de Alicante,Presencial,Escuela Politécnica Superior,Grado en Ingeniería Aeroespacial,No,"12,67"
Cataluña,Barcelona,Pública,Universidad de Barcelona,Presencial,Facultad de Matemáticas e Informática,Doble Grado en Matemáticas / Grado en Ingeniería Informática,No,"12,66"
Aragón,Zaragoza,Pública,Universidad de Zaragoza,Presencial,Escuela de Ingeniería y Arquitectura,Doble Grado en Matemáticas / Grado en Ingeniería Informática,No,"12,66"
Cataluña,Barcelona,Pública,Universidad Pompeu Fabra,Presencial,Facultad de Medicina y Ciencias de la Vida,Grado en Medicina,No,"12,66"
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Educación,Doble Grado en Maestro en Educación Primaria / Grado en Maestro en Educación Infantil,No,"12,65"
Cataluña,Barcelona,Pública,Universidad de Barcelona,Presencial,Facultad de Medicina y Ciencias de la Salud,Grado en Medicina,No,"12,65"
Andalucía,Granada,Pública,Universidad de Granada,Presencial,Facultad de Ciencias de la Salud,Grado en Enfermería,No,"12,64"
